formation_year,year,month,Mkt_RF,ME,IA,ROE
2008,2008,7,0.08495432,-0.12544064148598727,-0.01848641748131509,-0.060872342374820476
2008,2008,8,-0.3539402,0.12106144901722787,-0.0770146849359725,-0.299934298445358
2008,2008,9,-0.15285276,0.07264071348158307,0.013369630065271677,-0.03428102394967569
2008,2008,10,-0.28099943,0.14850607852029865,0.02945510222665526,-0.1397889033244527
2008,2008,11,0.01847923,0.050591081454235486,-0.010235716644947431,0.05053575902063013
2008,2008,12,-0.00068277,-0.018913284415521245,0.0199246140806437,0.01308363792102142
2008,2009,1,0.08594244,-0.05981137163952405,0.004747428302900741,0.10424126147116541
2008,2009,2,-0.08961835,0.015415038101131134,0.033622904558401875,-0.017471420569236052
2008,2009,3,-0.27743718,0.10222255721612236,0.0431665977167856,-0.05178654322220247
2008,2009,4,0.16054788,0.038812832732927766,-0.09397685165976094,-0.036880991168224964
2008,2009,5,0.05990349,-0.05608952686090442,-0.09279484611267186,-0.1009666575737152
2008,2009,6,0.43690531,-0.1997362812601257,-0.06256330648454697,0.25406770056075484
2009,2009,7,0.16907727,-0.07176671305209972,-0.05239081178701124,-0.10472059472609829
2009,2009,8,0.14861637,-0.07341635385951228,0.025889440529220847,-0.04550592620697144
2009,2009,9,0.02361362,0.02064574290584731,-0.032769025652236716,-0.03461563187023859
2009,2009,10,0.33232209,-0.13002781177490408,-0.18948302443077944,-0.24254971360545843
2009,2009,11,0.02138843,0.02960353037569194,-0.12103166740397696,-0.07949855182072951
2009,2009,12,-0.09432374,0.04969686065009735,0.04164344649680183,0.04112102791500721
2009,2010,1,0.06481902,-0.033725973298029184,-0.02561287617240031,-0.026364230174127472
2009,2010,2,0.05244909,0.03767623301644636,-0.09342001121861371,-0.07267505394168844
2009,2010,3,-0.00725952,0.047831059239667656,0.06727594022724603,0.03236616858690536
2009,2010,4,0.115987,-0.05034187029539551,0.02871043813567542,-0.08034747082566426
2009,2010,5,-0.06043776,0.050990920088575475,0.04607369078097366,0.06913171050993551
2009,2010,6,-0.05517752,0.07718648208727666,0.08979774819878482,0.10309174225303608
2010,2010,7,0.1295992,0.024075479945074134,-0.010948143680493641,-0.016146419063302192
2010,2010,8,-0.01351822,0.020508907754994345,0.18231218058516757,0.11750056751399102
2010,2010,9,0.18846235,-0.12188809470306564,-0.13524257493923775,-0.02077799205412506
2010,2010,10,-0.05391219,0.020130889759149305,-0.03365731801924453,0.03940523032895729
2010,2010,11,-0.04448475,-0.01172467092759623,0.011388927935790952,0.028293479257015572
2010,2010,12,-0.01658077,-0.013859335258530463,0.03653500061258641,0.04936671230258037
2010,2011,1,0.04136414,-0.0008990343079468763,0.04809420233754619,0.014484732516467598
2010,2011,2,0.06716446,-0.02100162222325415,-0.07261437686099119,-0.05695370152932555
2010,2011,3,0.02019723,0.03298942525113969,0.05424883609399565,0.035431794402380805
2010,2011,4,0.03631257,-0.010510085067649364,0.011938464143357627,0.008243362487475883
2010,2011,5,0.1326013,-0.052243931098386036,-0.12244119992237917,-0.08698782253522383
2010,2011,6,-0.04089005,0.04745387467663693,-0.006686101655114222,0.022915153457191893
2011,2011,7,0.04075775,0.020722337335296284,0.015147201182926735,0.07068919915222174
2011,2011,8,0.13464154,0.0464198544409017,0.07737076332191832,0.00959589246912657
2011,2011,9,-0.138987,0.07935721034878265,-0.11836025200760272,-0.018476075159452904
2011,2011,10,-0.05662563,0.03481386517567378,-0.09847964845442397,-0.030656162621848594
2011,2011,11,-0.25494558,0.10680289519792072,-0.15538002150972868,-0.04224661349958078
2011,2011,12,0.30132601,-0.03115165124463394,0.18200082603892032,0.006107911486421036
2011,2012,1,0.14379134,-0.03349103493747444,0.05669617001431368,0.0027805995192173513
2011,2012,2,0.12081548,-0.0467921941329595,0.08630562260115496,-0.09264231679947535
2011,2012,3,-0.0818743,0.05138480321429634,-0.048179726321074756,0.0043344834226079695
2011,2012,4,-0.02026292,-0.006010568232577666,-0.017464222722409207,0.02216117993889463
2011,2012,5,-0.06512986,0.00020904795218687575,-0.048640375653543025,0.026592204663455323
2011,2012,6,-0.11132623,-0.015665748654349197,0.027719459537667634,0.040553863685784765
2012,2012,7,-0.11862754,0.10586398454745222,0.02694829929169901,-0.05091117193089604
2012,2012,8,-0.10240704,0.08791508300440823,0.030515319553234967,0.021314778685209358
2012,2012,9,0.33641275,-0.05427541710743165,0.049002424769304165,0.21504420247304293
2012,2012,10,-0.01521084,0.0662231767069889,0.030042738733987898,-0.03136119169842433
2012,2012,11,0.00605008,0.0014784541639591732,0.09317580433090218,-0.015401250977335669
2012,2012,12,0.08992097,-0.08909345987660322,0.1435071183841313,0.11734073783346063
2012,2013,1,-0.03813972,0.06573142298846595,-0.028790610960366544,-0.034353091805947436
2012,2013,2,-0.04836272,0.019681977367152943,-0.01342322572827405,-0.135086973320572
2012,2013,3,0.0013137,0.046557105934090084,0.06264953893377895,-0.0034662712750593294
2012,2013,4,0.02646823,0.08131850851704381,-0.0920534970543572,-0.15061015758976937
2012,2013,5,0.06914392,0.18532939540034396,0.03932552546196613,0.08971676862087682
2012,2013,6,0.11309384,0.09204365104979674,-0.08034029263628262,-0.09921186636798213
2013,2013,7,0.20390913,0.17016009205366206,0.07711341465609411,0.05758970321040924
2013,2013,8,-0.08783884,0.14494663689617282,0.011529875107752906,-0.08502840301948658
2013,2013,9,0.11193607,-0.002463924610843146,0.03853360316689532,-0.007440404279667107
2013,2013,10,0.12320381,-0.02314917103074903,0.07223296669721463,0.025862338514147404
2013,2013,11,0.10837408,-0.03522825465465476,-0.3233945569184226,-0.3763413512597019
2013,2013,12,0.1523987,0.1238823652177919,0.02851168344374544,-0.07682412841617536
2013,2014,1,-0.10861982,0.08611840399670032,-0.08309293095088771,-0.018316291866276195
2013,2014,2,-0.07382911,0.010198126646773087,0.016839132618383545,0.008925467978444429
2013,2014,3,-0.06758093,0.031104991041637806,-0.020293123548411653,-0.03448962935980294
2013,2014,4,-0.02753458,-0.04525265222318367,-0.060900988665284324,0.05562789362732384
2013,2014,5,-0.07198381,0.044145913281011785,-0.14417297233916676,-0.08865800939409563
2013,2014,6,-0.06418413,-0.006048135463432462,0.04540959839523273,0.08634494685147265
2014,2014,7,0.18641308,-0.09186516857303623,-0.007957036352395135,0.0972275976310297
2014,2014,8,-0.05783414,0.054351745446088444,0.003911288513066165,-0.052027721466305285
2014,2014,9,-0.05326019,0.08936347230977626,-0.0013194066199316047,-0.007766338687207131
2014,2014,10,0.00752342,0.025597284919999755,-0.01729252850695917,-0.11654001220536786
2014,2014,11,0.00471989,0.024732262831555496,-0.11148109579266265,0.01311552733553157
2014,2014,12,-0.07244438,0.018515149671060712,0.04917455265284153,0.005564158807434036
2014,2015,1,-0.09226172,-0.01893060178043498,0.04445730646803005,-0.02072043225785332
2014,2015,2,-0.04718739,0.02833213751143035,-0.05632554491408836,-0.02740745148563639
2014,2015,3,0.06758679,-0.07056111111473376,-0.01341566828561365,-0.03564127037937746
