ticker,year,month,ret_monthly,n_days,first_close,last_close
آباد,2018,4,0.01173333,19,1859.48,1877.3
آباد,2018,5,0.27306273,21,1871.36,2389.92
آباد,2018,6,-0.17598344,17,2411.69,1969.33
آباد,2018,7,-0.11020386,19,1965.37,1752.3
آباد,2018,8,0.08267271,20,1688.8,1897.17
آباد,2018,9,0.6459205,20,1900.15,3122.59
آباد,2018,10,-0.34509056,22,3005.51,2045.01
آباد,2018,11,-0.11159631,18,2015.25,1816.8
آباد,2018,12,0.03003823,23,1771.15,1871.37
آباد,2019,1,0.17338282,22,1900.15,2195.83
آباد,2019,2,-0.07455942,18,2119.43,2032.11
آباد,2019,3,0.109375,19,2126.38,2254.38
آباد,2019,4,0.17913732,18,2343.68,2658.22
آباد,2019,5,0.32064203,20,2697.91,3510.56
آباد,2019,6,-0.08903335,19,3341.88,3198.0
آباد,2019,7,0.09779379,20,3231.74,3510.75
آباد,2019,8,0.3177942,17,3507.75,4626.44
آباد,2019,9,0.5204918,19,4691.31,7034.46
آباد,2019,10,-0.35650447,19,6747.06,4526.65
آباد,2019,11,0.22354497,20,4515.67,5538.55
آباد,2019,12,0.40738739,23,5774.07,7794.89
آباد,2020,1,0.19472539,19,8015.44,9312.76
آباد,2020,2,0.61712387,18,9191.01,15059.88
آباد,2020,3,-0.04691538,18,14765.49,14353.34
آباد,2020,4,0.26593896,20,14339.37,18170.45
آباد,2020,5,0.10709578,20,18870.01,20116.43
آباد,2020,6,0.44111519,20,20433.77,28990.09
آباد,2020,7,0.29328744,18,29758.51,37492.52
آباد,2020,8,-0.06228374,20,39318.75,35157.35
آباد,2020,9,-0.07635538,21,35127.41,32472.9
آباد,2020,10,-0.01137062,15,32462.92,32103.66
آباد,2020,11,-0.06185887,16,32103.66,30117.76
آباد,2020,12,0.46255799,22,31165.6,44048.97
آباد,2021,1,0.16742184,18,46224.48,51423.73
آباد,2021,2,0.07316127,19,48968.81,55185.96
آباد,2021,3,-0.00687161,17,55175.98,54806.74
آباد,2021,4,-0.01310998,19,54776.81,54088.23
آباد,2021,5,-0.00358344,15,54078.25,53894.41
آباد,2021,6,-0.03783383,13,53894.41,51855.37
آباد,2021,7,-0.03353894,14,51855.37,50116.2
آباد,2021,8,0.00698045,19,50106.21,50466.03
آباد,2021,9,-0.07229154,20,52974.84,46817.77
آباد,2021,10,-0.17463706,20,46937.71,38641.65
آباد,2021,11,0.18649767,22,37522.18,45848.23
آباد,2021,12,-0.16285154,21,47887.26,38381.77
آباد,2022,1,-0.14036458,23,39971.02,32994.33
آباد,2022,2,0.226598,19,33164.25,40470.78
آباد,2022,3,0.03185972,17,40210.9,41760.17
آباد,2022,4,-0.08640498,19,42819.67,38151.88
آباد,2022,5,-0.11736966,19,37802.05,33674.01
آباد,2022,6,-0.16259495,14,34733.51,28198.78
آباد,2022,7,-0.13404255,20,27078.83,24418.95
آباد,2022,8,0.23628174,21,23279.0,30188.7
آباد,2022,9,-0.18449818,17,31548.64,24618.94
آباد,2022,10,-0.10154346,20,23998.97,22119.05
آباد,2022,11,0.07052441,22,23209.0,23678.98
آباد,2022,12,0.11317568,20,23338.99,26358.86
آباد,2023,1,0.29931715,22,26018.88,34248.52
آباد,2023,2,-0.14919708,17,34958.49,29138.74
آباد,2023,3,0.31503089,17,30278.7,38318.35
آباد,2023,4,0.74895616,15,39818.28,67017.11
آباد,2023,5,0.66114593,20,70366.97,111325.2
آباد,2023,6,-0.0136106,14,106005.43,109810.0
آباد,2023,7,-0.03751935,21,108210.0,105690.0
آباد,2023,8,-0.24723247,21,100900.0,79560.0
آباد,2023,9,-0.21618904,18,78740.0,62360.0
آباد,2023,10,0.05917255,22,59890.0,66050.0
آباد,2023,11,0.04375473,21,62880.0,68940.0
آباد,2023,12,-0.04917319,21,66200.0,65550.0
آباد,2024,1,-0.00915332,23,65690.0,64950.0
آباد,2024,2,-0.17321016,18,64490.0,53700.0
آباد,2024,3,-0.00223464,4,57120.0,53580.0
آباد,2024,5,-0.31785517,14,1174.0,1414.0
آباد,2024,6,-0.04101839,14,1404.0,1356.0
آباد,2024,7,-0.24926254,18,1226.0,1018.0
آباد,2024,8,-0.09528487,19,962.0,921.0
آباد,2024,9,0.09989142,19,913.0,1013.0
آباد,2024,10,-0.09575518,22,1013.0,916.0
آباد,2024,11,0.06004367,21,897.0,971.0
آباد,2024,12,0.15447992,23,985.0,1121.0
آباد,2025,1,-0.01873327,19,1153.0,1100.0
