formation_year,year,month,Mkt_RF,ME,IA,ROE
2014,2014,11,0.02976141,0.031398189342939815,-0.12420114535747033,0.00010862662612018403
2014,2014,12,-0.09555794,0.01794648958328717,0.046245245005427975,0.01467562071096587
2014,2015,1,-0.10234308,-0.024274267711444763,0.029895046358421024,-0.00833739417746554
2014,2015,2,-0.01925042,0.02676575519964177,-0.0466458943180888,-0.026335128507756003
2014,2015,3,0.12572675,-0.0639380701156577,-0.03251391430724992,-0.0419686693919644
2014,2015,4,0.02378287,0.012021771363948011,0.032239784609345415,0.026002110581686038
2014,2015,5,-0.04029545,0.017145017384969482,0.06258784609950102,0.08025314444464879
2014,2015,6,0.07508834,-0.008704126986370164,-0.0011270422503137072,-0.07503799472080641
2015,2015,7,-0.0397318,0.013075930042152774,-0.03525149963766589,-0.022428925167135114
2015,2015,8,-0.03303218,0.025713219159351815,0.01967363921222423,0.02260904063036495
2015,2015,9,0.0212165,0.0007632720288952791,-0.005920623568429175,0.00024405762527493144
2015,2015,10,0.01118028,-0.04112048185098412,0.04543086177318193,0.03971398233350127
2015,2015,11,-0.04482062,0.04336150722572362,0.004587563244405615,0.03601844946595864
2015,2015,12,-0.02944837,0.014371020505171608,0.0013915753023300975,0.022789257844453452
2015,2016,1,0.10291134,0.04402908154610226,-0.05259287294550055,-0.10593122765996474
2015,2016,2,-0.0228844,-0.003754034982351405,-0.07099071620123794,-0.20495617497316265
2015,2016,3,0.06323802,-0.10980281927812985,-0.01949101884004653,-0.09799823209753988
2015,2016,4,-0.01610176,0.10167286261989998,-0.05216751832647502,-0.04008221552114447
2015,2016,5,-0.01778535,0.10011191979297243,-4.120281386446167e-05,-0.026843010410276986
2015,2016,6,0.01193282,-0.0322915154558857,-0.02972284553542765,0.02195393410451437
2016,2016,7,-0.01011983,0.0003921718448222575,-0.005408692264176146,-0.03493951348537046
2016,2016,8,0.03348546,0.036825726432371975,-0.03132146205755877,-0.00029462356754419994
2016,2016,9,-0.00339887,0.09843379129072356,-0.06255547072729026,-0.11446619070944719
2016,2016,10,0.02582252,-0.043593565266567554,-0.034142301175701224,-0.022259110794446764
2016,2016,11,0.0150888,-0.026202666907219525,-0.0002996576212401913,0.021465331937836764
2016,2016,12,-0.04532509,-0.01599115177988888,-0.0034990340235945307,0.08654797551864715
2016,2017,1,-0.02645214,0.028409703400284647,-0.011906482609298875,-0.023451930482179285
2016,2017,2,-0.04710137,0.03303045005563953,0.0194848804353012,-0.06278027988460444
2016,2017,3,-0.01749941,0.052327928643647104,-0.003069259699371482,-0.023687825767769392
2016,2017,4,-0.03419118,0.16501679791135532,-0.0011613169412657415,-0.1389167770659064
2016,2017,5,0.00284451,-0.025664911273025656,-0.010833736762718036,0.05180588099684355
2016,2017,6,-0.00280139,0.0030115053278611335,0.013440354194323587,-0.016542496654049582
2017,2017,7,0.0183198,0.06531226926065341,0.031985678887182886,0.0159133956747535
2017,2017,8,0.00573006,0.1256570002657672,-0.2218576826449575,-0.2508118177880094
2017,2017,9,-0.003995,0.02916968428767687,-0.06094457570022374,-0.06927036390812036
2017,2017,10,0.00575385,-0.07434710194360444,0.061778148751200336,0.03855713276862066
2017,2017,11,0.02863542,-0.026569099572993495,0.00727989950810793,0.0339031836464531
2017,2017,12,0.00679467,-0.05120390921747968,0.004309039686324519,0.07454377286413999
2017,2018,1,0.04162848,-0.05171773241511737,0.0614396057294256,0.08552810543098176
2017,2018,2,-0.15483763,0.007842142777417306,-0.018079051728906042,-0.06987558767109306
2017,2018,3,-0.02616818,0.007178063807313349,-0.007148977514553106,0.033774533430694836
